"","z","type","suf","id","rep"
"13106",-32,1,3.96075575597609e-10,65,4
"13107",-31,1,6.22953131981489e-10,65,4
"13108",-30,1,8.48967080197585e-10,65,4
"13109",-30,4,6.0447643756488e-06,65,4
"13110",-29,1,1.4651030011098e-09,65,4
"13111",-29,4,1.33495931193349e-05,65,4
"13112",-28,1,2.44150911324514e-09,65,4
"13113",-28,4,1.738856066654e-05,65,4
"13114",-27,1,3.77132678418176e-09,65,4
"13115",-27,4,2.50520792994768e-05,65,4
"13116",-26,1,7.33254404104538e-09,65,4
"13117",-26,4,3.79326892030825e-05,65,4
"13118",-25,1,9.38563942472933e-09,65,4
"13119",-25,4,5.87182386923293e-05,65,4
"13120",-24,1,2.10524068278335e-08,65,4
"13121",-24,4,9.17268746649375e-05,65,4
"13122",-23,1,2.90477706564934e-08,65,4
"13123",-23,4,0.000143867424193903,65,4
"13124",-22,1,3.4765273706224e-08,65,4
"13125",-22,4,0.000229240631271586,65,4
"13126",-21,1,6.58023724929164e-08,65,4
"13127",-21,4,0.000357556693942621,65,4
"13128",-20,1,1.45777964086367e-07,65,4
"13129",-20,4,0.000568825512584823,65,4
"13130",-19,1,1.92970857226641e-07,65,4
"13131",-19,4,0.000796028445401003,65,4
"13132",-18,1,3.26274848710237e-07,65,4
"13133",-18,4,0.00111460638219491,65,4
"13134",-17,1,3.84175755969772e-07,65,4
"13135",-17,4,0.00154725700513723,65,4
"13136",-16,1,8.2127275433222e-07,65,4
"13137",-16,4,0.00312840331522938,65,4
"13138",-15,1,1.32504208492629e-06,65,4
"13139",-15,2,1.5373884981786e-06,65,4
"13140",-15,4,0.00309071595536012,65,4
"13141",-14,1,2.25429270062328e-06,65,4
"13142",-14,2,2.72419669624695e-06,65,4
"13143",-14,4,0.00398170339991534,65,4
"13144",-13,1,4.57911420643275e-06,65,4
"13145",-13,2,8.97302156210657e-06,65,4
"13146",-13,4,0.00683325681897949,65,4
"13147",-12,1,7.73627964051094e-06,65,4
"13148",-12,2,9.9855806045479e-06,65,4
"13149",-12,4,0.011447318606522,65,4
"13150",-11,1,1.78896523505723e-05,65,4
"13151",-11,2,3.7965241404625e-05,65,4
"13152",-11,4,0.0137585586777861,65,4
"13153",-10,1,2.68998722472455e-05,65,4
"13154",-10,2,0.000110707339748307,65,4
"13155",-10,4,0.0238026148562666,65,4
"13156",-9,1,5.59052800959771e-05,65,4
